# accession,Tm,ogt,species
G5EBU2,41.28994881257615,20,Caenorhabditis elegans
G5EBV3,37.03116220595625,20,Caenorhabditis elegans
G5EBW2,37.246816850729886,20,Caenorhabditis elegans
G5EBW7,40.123715757562934,20,Caenorhabditis elegans
G5EBY6,42.213569628211964,20,Caenorhabditis elegans
G5EBZ1,38.46521023733344,20,Caenorhabditis elegans
G5EBZ4,37.94163603150019,20,Caenorhabditis elegans
G5EC05,36.66998140028566,20,Caenorhabditis elegans
G5EC10,45.368086046575336,20,Caenorhabditis elegans
G5EC13,45.81558276692899,20,Caenorhabditis elegans
G5EC22,44.56377681716111,20,Caenorhabditis elegans
G5EC23,35.27481430736218,20,Caenorhabditis elegans
G5EC24,32.054712637659385,20,Caenorhabditis elegans
G5EC31,39.28122456197718,20,Caenorhabditis elegans
G5EC48,40.32144453803813,20,Caenorhabditis elegans
G5EC50,37.439311372436705,20,Caenorhabditis elegans
G5EC56,40.05652195298963,20,Caenorhabditis elegans
G5EC71,35.08622491568955,20,Caenorhabditis elegans
G5EC95,42.87375356184176,20,Caenorhabditis elegans
G5EC96,45.45347265876686,20,Caenorhabditis elegans
G5EC98,40.36248841506906,20,Caenorhabditis elegans
G5ECA0,41.63254763367207,20,Caenorhabditis elegans
G5ECA2,46.400949062852135,20,Caenorhabditis elegans
G5ECA7,43.875745454781715,20,Caenorhabditis elegans
G5ECC7,35.766098063002794,20,Caenorhabditis elegans
G5ECE3,42.024817045007495,20,Caenorhabditis elegans
G5ECE7,56.64053031727603,20,Caenorhabditis elegans
G5ECE8,36.98304669370298,20,Caenorhabditis elegans
G5ECF1,41.4246331287306,20,Caenorhabditis elegans
G5ECF8,45.44925168475285,20,Caenorhabditis elegans
G5ECG7,38.69469020703571,20,Caenorhabditis elegans
G5ECH0,40.196974888802934,20,Caenorhabditis elegans
G5ECH7,36.97105229810047,20,Caenorhabditis elegans
G5ECJ6,47.199092129009095,20,Caenorhabditis elegans
G5ECK5,44.913226229918486,20,Caenorhabditis elegans
G5ECK7,37.92375789740325,20,Caenorhabditis elegans
G5ECL1,41.65306699884989,20,Caenorhabditis elegans
G5ECL2,38.612289667617866,20,Caenorhabditis elegans
G5ECL3,45.707528574016294,20,Caenorhabditis elegans
G5ECL7,42.87331037124807,20,Caenorhabditis elegans
G5ECN3,49.394057691646694,20,Caenorhabditis elegans
G5ECR6,44.28170452258473,20,Caenorhabditis elegans
G5ECR8,46.099681349105595,20,Caenorhabditis elegans
G5ECS4,36.21214007098619,20,Caenorhabditis elegans
G5ECS9,39.20720079225774,20,Caenorhabditis elegans
G5ECU1,44.48208111107615,20,Caenorhabditis elegans
G5ECU4,39.74608021656983,20,Caenorhabditis elegans
G5ECU5,41.22223622069116,20,Caenorhabditis elegans
G5ECV9,38.730053227440486,20,Caenorhabditis elegans
G5ECW9,37.92279803539946,20,Caenorhabditis elegans
G5ECY0,39.280458342013986,20,Caenorhabditis elegans
G5ECY2,45.906256454302145,20,Caenorhabditis elegans
G5ECY7,40.36138183529998,20,Caenorhabditis elegans
G5ECZ9,40.351507514768116,20,Caenorhabditis elegans
G5ED01,47.419463252716525,20,Caenorhabditis elegans
G5ED07,41.889539704758924,20,Caenorhabditis elegans
G5ED16,43.75061172159512,20,Caenorhabditis elegans
G5ED17,42.47789959994213,20,Caenorhabditis elegans
G5ED20,49.59589117044762,20,Caenorhabditis elegans
G5ED21,42.98659284871338,20,Caenorhabditis elegans
G5ED25,46.6357916587761,20,Caenorhabditis elegans
G5ED27,53.54432750544714,20,Caenorhabditis elegans
G5ED31,34.03004858655797,20,Caenorhabditis elegans
G5ED39,43.06024551256057,20,Caenorhabditis elegans
G5ED41,46.43863370386814,20,Caenorhabditis elegans
G5ED43,38.49375895488225,20,Caenorhabditis elegans
G5ED56,41.4279475271898,20,Caenorhabditis elegans
G5ED60,37.53171447879353,20,Caenorhabditis elegans
G5ED68,37.84158179877595,20,Caenorhabditis elegans
G5ED75,37.76743250757466,20,Caenorhabditis elegans
G5ED76,45.46539071812409,20,Caenorhabditis elegans
G5ED87,39.059431890002955,20,Caenorhabditis elegans
G5ED93,38.215073118107995,20,Caenorhabditis elegans
G5ED95,39.64293900172505,20,Caenorhabditis elegans
G5ED99,39.535874254006764,20,Caenorhabditis elegans
G5EDB7,43.907337463162044,20,Caenorhabditis elegans
G5EDB8,41.082380141000584,20,Caenorhabditis elegans
G5EDC6,42.23153395695228,20,Caenorhabditis elegans
G5EDD8,47.307980032633644,20,Caenorhabditis elegans
G5EDE8,50.81269336482696,20,Caenorhabditis elegans
G5EDE9,36.132186350845,20,Caenorhabditis elegans
G5EDF0,37.76388881836329,20,Caenorhabditis elegans
G5EDF7,39.626890342722156,20,Caenorhabditis elegans
G5EDG2,38.289210951955006,20,Caenorhabditis elegans
G5EDI3,45.59068386227291,20,Caenorhabditis elegans
G5EDJ6,48.39862343764858,20,Caenorhabditis elegans
G5EDJ7,39.6241043999794,20,Caenorhabditis elegans
G5EDK1,38.650778437261216,20,Caenorhabditis elegans
G5EDL4,40.215536890496956,20,Caenorhabditis elegans
G5EDM5,40.69672074916784,20,Caenorhabditis elegans
G5EDP2,38.512490324205565,20,Caenorhabditis elegans
G5EDP3,50.29661857806823,20,Caenorhabditis elegans
G5EDQ4,45.041415606277056,20,Caenorhabditis elegans
G5EDQ9,46.33758258312582,20,Caenorhabditis elegans
G5EDR3,44.20833463146808,20,Caenorhabditis elegans
G5EDR5,41.74553943839896,20,Caenorhabditis elegans
G5EDS2,37.615608283654,20,Caenorhabditis elegans
G5EDS8,40.95329639327511,20,Caenorhabditis elegans
G5EDT1,37.92014985425022,20,Caenorhabditis elegans
G5EDT8,41.543227750044956,20,Caenorhabditis elegans
G5EDU8,36.51476486061003,20,Caenorhabditis elegans
